[2025-05-09 14:00:12] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 18:46:36] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 18:46:36] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 18:46:36] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 18:46:39] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 18:46:39] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 18:46:39] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 18:46:39] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 18:46:39] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 18:46:39] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 18:46:39] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 18:46:39] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 19:17:52] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 19:17:52] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 19:17:52] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 19:17:52] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 19:17:52] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 19:17:52] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 19:17:52] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 19:17:52] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:21:48] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:21:48] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:21:48] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:21:48] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:21:48] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:21:48] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:21:48] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:21:48] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:25:24] WARNING | django.request | log | Not Found: /favicon.ico
[2025-05-15 22:25:24] WARNING | django.server | basehttp | "GET /favicon.ico HTTP/1.1" 404 2537
[2025-05-15 22:25:38] INFO | core | signals | User Login: Username=admin, Email=archergorden@gmail.com, IP Address=127.0.0.1, Timestamp=2025-05-15 22:25:38.548701+00:00, Hostname=iamsk.local, OS=macOS-14.6.1-x86_64-i386-64bit-Mach-O
[2025-05-15 22:41:19] WARNING | django.request | log | Not Found: /api/v1/claim/verify/
[2025-05-15 22:41:19] WARNING | django.server | basehttp | "POST /api/v1/claim/verify/ HTTP/1.1" 404 68
[2025-05-15 22:41:25] WARNING | django.request | log | Not Found: /api/v1/claim/verify/
[2025-05-15 22:41:25] WARNING | django.server | basehttp | "POST /api/v1/claim/verify/ HTTP/1.1" 404 68
[2025-05-15 22:41:27] WARNING | django.request | log | Not Found: /api/v1/claim/verify/
[2025-05-15 22:41:27] WARNING | django.server | basehttp | "POST /api/v1/claim/verify/ HTTP/1.1" 404 68
[2025-05-15 22:41:42] WARNING | django.request | log | Not Found: /api/v1/claim/verify/
[2025-05-15 22:41:42] WARNING | django.server | basehttp | "POST /api/v1/claim/verify/ HTTP/1.1" 404 68
[2025-05-15 22:52:30] INFO | core | signals | User Logout: Username=admin, Email=archergorden@gmail.com, IP Address=127.0.0.1, Logout Timestamp=2025-05-15 22:52:30.040178+00:00, Session Duration=0h 26m 51s
[2025-05-15 22:52:31] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:31] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:31] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:31] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:31] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:31] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:31] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:52:31] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:52:33] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:33] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:33] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:33] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:33] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:33] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:33] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:52:33] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:52:49] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:49] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:49] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 22:52:49] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 22:52:49] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:49] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 22:52:49] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 22:52:49] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:11:34] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:11:34] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:11:34] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:11:34] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:11:34] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:11:34] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:11:34] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:11:34] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:14] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:14] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:14] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:14] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:14] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:14] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:14] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:14] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:22] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:22] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:22] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:22] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:22] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:22] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:22] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:22] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:24] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:24] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:24] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:12:24] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:24] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:12:24] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:12:24] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:12:24] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:13:23] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:13:23] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:13:23] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:13:23] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:13:23] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:13:23] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:13:23] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:13:23] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:14:35] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:14:35] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:14:35] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:14:35] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:14:35] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:14:35] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:14:35] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:14:35] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:14:35] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:14:35] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
[2025-05-15 23:14:35] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:14:35] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:14:35] WARNING | django.server | basehttp | "GET /api/v1/auth/isAuthenticated/ HTTP/1.1" 401 58
[2025-05-15 23:14:35] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:14:35] ERROR | django.request | log | Internal Server Error: /api/v1/auth/refresh/
[2025-05-15 23:14:35] ERROR | django.server | basehttp | "POST /api/v1/auth/refresh/ HTTP/1.1" 500 93
[2025-05-15 23:14:39] WARNING | django.request | log | Not Found: /api/v1/claim/verify/
[2025-05-15 23:14:39] WARNING | django.server | basehttp | "POST /api/v1/claim/verify/ HTTP/1.1" 404 68
[2025-05-15 23:16:05] WARNING | django.request | log | Unauthorized: /api/v1/auth/isAuthenticated/
